2023-10-04T01:36:50.542278Z [info     ] 2023-10-03 18:36:50,539 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.542424Z [info     ] 2023-10-03 18:36:50,539 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.542567Z [info     ] 2023-10-03 18:36:50,539 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.542727Z [info     ] 2023-10-03 18:36:50,539 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.542872Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'traffic_clones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543062Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'traffic_pageviews' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543227Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'traffic_referral_paths' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543370Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'traffic_referrers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543531Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'workflow_run_jobs' as child stream to 'workflow_runs' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543774Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'workflow_runs' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.543970Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'workflows' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.544169Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'team_members' as child stream to 'teams' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.544427Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'team_roles' as child stream to 'team_members' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.544635Z [info     ] 2023-10-03 18:36:50,540 | INFO     | tap-github           | Added 'teams' as child stream to 'organizations' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.544816Z [info     ] 2023-10-03 18:36:50,542 | WARNING  | tap-github           | Stream descendent 'commits' is selected and its parent 'repositories' does not use inclusive replication keys. Forcing full table replication for 'repositories'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.546173Z [info     ] 2023-10-03 18:36:50,545 | INFO     | tap-github           | Skipping deselected stream 'anonymous_contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.546451Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'assignees'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.546684Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'collaborators'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.546928Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'commit_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.547155Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'community_profile'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.547450Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.547697Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'dependencies'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.547929Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'dependents'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.548156Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.548380Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'extra_metrics'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.548622Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'issue_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.548841Z [info     ] 2023-10-03 18:36:50,546 | INFO     | tap-github           | Skipping deselected stream 'issue_events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.549032Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'issues'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.549289Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'labels'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.549523Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'languages'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.549741Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'milestones'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.550016Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'organizations'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-04T01:36:50.550228Z [info     ] 2023-10-03 18:36:50,547 | INFO     | tap-github           | Skipping deselected stream 'project_cards'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
