2023-10-11T00:19:54.538168Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538285Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538396Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538553Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'traffic_clones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538739Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'traffic_pageviews' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538921Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'traffic_referral_paths' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.539127Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'traffic_referrers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.539392Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'workflow_run_jobs' as child stream to 'workflow_runs' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.539674Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'workflow_runs' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.539874Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'workflows' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.540085Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'team_members' as child stream to 'teams' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.540273Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'team_roles' as child stream to 'team_members' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.540435Z [info     ] 2023-10-10 17:19:54,535 | INFO     | tap-github           | Added 'teams' as child stream to 'organizations' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
