2023-10-11T00:00:34.567565Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567674Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567782Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567891Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568000Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_clones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568119Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_pageviews' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568230Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_referral_paths' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568341Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_referrers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568450Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflow_run_jobs' as child stream to 'workflow_runs' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568611Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflow_runs' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568732Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflows' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568846Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'team_members' as child stream to 'teams' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568958Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'team_roles' as child stream to 'team_members' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569083Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'teams' as child stream to 'organizations' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569198Z [info     ] 2023-10-10 17:00:34,566 | WARNING  | tap-github           | Stream descendent 'commits' is selected and its parent 'repositories' does not use inclusive replication keys. Forcing full table replication for 'repositories'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569339Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'anonymous_contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569456Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'assignees'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569571Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'collaborators'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569685Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'commit_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569879Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'community_profile'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570021Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570141Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'dependencies'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570254Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'dependents'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570364Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570474Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'extra_metrics'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570583Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'issue_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570691Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'issue_events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570799Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'issues'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.570908Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'labels'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571016Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'languages'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571124Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'milestones'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571233Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'organizations'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571342Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'project_cards'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571450Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'project_columns'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571558Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'projects'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571666Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'pull_request_commits'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571774Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'pull_requests'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.571884Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'readme'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.572037Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'readme_html'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.572157Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Skipping deselected stream 'releases'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.572269Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Beginning full_table sync of 'repositories'... cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.572378Z [info     ] 2023-10-10 17:00:34,569 | INFO     | tap-github           | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.663111Z [info     ] 2023-10-10 17:00:34,662 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-11T00:00:34.663407Z [info     ] 2023-10-10 17:00:34,663 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-11T00:00:34.663574Z [info     ] 2023-10-10 17:00:34,663 | INFO     | target-postgres      | Initializing target sink for stream 'repositories'... cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-11T00:00:34.861046Z [warning  ] Loop <_UnixSelectorEventLoop running=False closed=True debug=False> that handles pid 73913 is closed
2023-10-11T00:00:34.880813Z [warning  ] Loop <_UnixSelectorEventLoop running=False closed=True debug=False> that handles pid 73898 is closed
